Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A)
0.12562814070351758,0.9976001745925125,0.07519207844252683,-4.4518239338075356e-11,3.188433215856961e-12,-4.441140333621523e-11,1.0429968504461608e-12
0.13567839195979903,0.9937201203725159,0.08038137584470792,-4.432485140274834e-11,3.410817897258343e-12,-4.404649667143296e-11,1.0982631425841507e-12
0.14572864321608048,0.9716399513953492,0.08207426257370506,-4.4608862545224615e-11,3.6198793891227173e-12,-4.3343753035243856e-11,1.0167802684620153e-12
0.15577889447236193,0.9664178646674073,0.08478224550551834,-4.4583686471686624e-11,3.775229151217722e-12,-4.308647107896856e-11,9.88181594115856e-13
0.16582914572864316,0.9733360785245243,0.09023163405504048,-4.401860948819785e-11,3.9473654463377485e-12,-4.284490074134491e-11,1.0069388601276505e-12
0.1758793969849246,0.9514652630940712,0.08810974260161136,-4.417074468282623e-11,3.928513468908432e-12,-4.202692921070631e-11,1.0840648001744712e-12
0.18592964824120606,0.9375892298540042,0.0838107160335001,-4.4121221883198633e-11,3.764711306778125e-12,-4.136758244568584e-11,1.1021800761811314e-12
0.1959798994974875,0.9089767465100657,0.08130085313002933,-4.3780210709363677e-11,3.735110486631396e-12,-3.979519349212253e-11,1.068740343394033e-12
0.20603015075376896,0.8731949861957196,0.08430719341342445,-4.370578310170175e-11,4.056619984314218e-12,-3.816367067216357e-11,1.0147796252107897e-12
0.2160804020100502,0.8717728913212927,0.08286739050448685,-4.3044476624273615e-11,3.922511972757621e-12,-3.75250078421548e-11,1.0149482035724047e-12
0.22613065326633164,0.8504287631215055,0.0752711865683381,-4.237784852328388e-11,3.5293591291255626e-12,-3.603934130340683e-11,1.0799111874632382e-12
0.2361809045226131,0.7914534250740076,0.07067013376699396,-4.278514286450551e-11,3.5629572861800153e-12,-3.3862447862393624e-11,1.0910682352560197e-12
0.24623115577889454,0.7582775897436523,0.0713819997866065,-4.2747179162329194e-11,3.771117731986954e-12,-3.241422798355106e-11,1.0648310527679657e-12
0.256281407035176,0.6940361573031146,0.06344004773365294,-4.181045222032491e-11,3.526463802519729e-12,-2.901796559409978e-11,1.0224014424115997e-12
0.2663316582914572,0.6232278652026317,0.059490747293194764,-4.079867958768995e-11,3.534236459965052e-12,-2.5426873982522192e-11,1.0195235734790406e-12
0.27638190954773867,0.5784291495018636,0.055969503168714345,-4.054597875433711e-11,3.482157560343321e-12,-2.3452976006591847e-11,1.0454517686675953e-12
0.2864321608040201,0.46807048619674646,0.04762439385005998,-4.0171225382313436e-11,3.3587647012711577e-12,-1.8802964995818532e-11,1.0901594041141873e-12
0.29648241206030157,0.32250365957232013,0.0384316575881374,-3.9881450366130423e-11,3.4903037405966697e-12,-1.2861913692128909e-11,1.0402619375207524e-12
0.306532663316583,0.2414697865982882,0.03343323223592267,-3.970922326882024e-11,3.684277438235902e-12,-9.588577668705803e-12,9.854338284792967e-13
0.31658291457286425,0.06296222330912939,0.025224414024708073,-3.831096254946621e-11,3.760118361558704e-12,-2.4121433792271847e-12,9.36923498770775e-13
0.3266331658291457,0.1582233115587058,0.03110318498233784,-3.643565088423959e-11,3.3770629889834e-12,5.764969341701276e-12,9.99390033171328e-13
0.33668341708542715,0.4445085773490276,0.05306911929565749,-3.50086895922723e-11,3.50174668982699e-12,1.556166280551467e-11,1.0143230998098153e-12
0.3467336683417086,0.6176139190042028,0.07080997374517753,-3.457253279684332e-11,3.62627073209607e-12,2.135247747055974e-11,9.8849895836805e-13
0.35678391959799005,1.0272609085901045,0.11842420209054659,-3.376135725213769e-11,3.783365771573471e-12,3.4681722526066076e-11,9.382890039103651e-13
0.3668341708542713,1.5684331329762793,0.18882438600710813,-3.20658123102524e-11,3.813566800888057e-12,5.0293082463198515e-11,9.404512856980048e-13
0.37688442211055273,1.9013828711686622,0.22790169887208592,-3.114481810787082e-11,3.698530457954367e-12,5.921822367596916e-11,9.630336320352176e-13
0.3869346733668342,2.715197113855159,0.32861937044175704,-2.941525870865867e-11,3.541487593196283e-12,7.986822554905285e-11,9.87638555900022e-13
0.39698492462311563,3.818833857422838,0.4916490759268834,-2.7390895587566033e-11,3.5172294956502845e-12,1.04601279454931e-10,9.701896159831143e-13
0.4070351758793971,4.503774647479324,0.6238166494727186,-2.6253341467367663e-11,3.6302130946794623e-12,1.1823913371234812e-10,9.505705846510936e-13
0.4170854271356783,6.630380171675395,1.0083869240651993,-2.2323541993806876e-11,3.391728778331799e-12,1.4801357019730012e-10,1.0021126856158871e-12
0.42713567839195976,9.456639556367742,1.8404752390323251,-1.929483679169231e-11,3.753377738597974e-12,1.8246431683797717e-10,1.1092612625794996e-12
0.4371859296482412,10.959778800761041,2.390636251815551,-1.8404749160953725e-11,4.013254008016381e-12,2.017119796875452e-10,1.1366528203569203e-12
0.44723618090452266,15.91109995688255,4.500714880178346,-1.5391459425588936e-11,4.353072584128674e-12,2.4489504940284764e-10,1.2001705228252257e-12
0.4572864321608041,25.754082158556102,9.845636787935247,-1.1438471369951362e-11,4.3725628090493184e-12,2.9458733143001915e-10,1.3162930796403122e-12
0.46733668341708534,34.44390884322343,15.793304992196036,-9.353842921301675e-12,4.288760472773952e-12,3.221829129151457e-10,1.3771672853829677e-12
0.4773869346733668,94.09801763076126,84.95800504153388,-4.081700370831884e-12,3.6851982290698565e-12,3.8407991345802343e-10,1.5065834369274755e-12
0.48743718592964824,265.68973900565237,545.6949409696275,1.7182726717066043e-12,3.529120496335402e-12,4.5652741768627265e-10,1.732497375130283e-12
0.4974874371859297,107.39108911306096,91.23656597692907,4.632119108521513e-12,3.935284557267688e-12,4.974483159655462e-10,1.8720060334715468e-12
0.5075376884422111,51.80510044258478,20.405386076031306,1.1369029969398228e-11,4.477921461140811e-12,5.889737394994318e-10,2.183384871451287e-12
0.5175879396984926,34.710198005619084,6.905888649439924,2.0011087566606326e-11,3.9806499801307655e-12,6.945888117446877e-10,2.6386663759611908e-12
0.5276381909547738,30.324480553904603,4.763300673636014,2.483753478236839e-11,3.900306144144478e-12,7.531853405148594e-10,2.831504607563246e-12
0.5376884422110553,24.87808389673981,2.690440521448748,3.5511193881110855e-11,3.8382705297575106e-12,8.834504606476693e-10,3.149894026997426e-12
0.5477386934673367,21.483215488739894,1.6203928416242666,4.8051337865778477e-11,3.6210983954795406e-12,1.032297245892766e-09,3.2821291698989434e-12
0.5577889447236182,20.387282856267,1.405355297715331,5.4650396082401997e-11,3.763720449108041e-12,1.1141730831389554e-09,3.3060877504363184e-12
0.5678391959798996,18.636288627526977,1.1108859401231441,6.943690971048656e-11,4.134796353905185e-12,1.294046290768158e-09,3.4952156259760937e-12
0.5778894472361809,16.940786923706636,0.7684052729610283,8.839303115064866e-11,4.002942381411627e-12,1.4974475062637022e-09,3.8407387199078815e-12
0.5879396984924623,16.339056697969408,0.7023013029905749,9.850316902613832e-11,4.226893145945943e-12,1.609448863647738e-09,3.995131169521147e-12
0.5979899497487438,15.540592196072097,0.6364039402088326,1.1938294076523267e-10,4.8811677370456115e-12,1.8552815976003122e-09,4.2602219052651335e-12
0.6080402010050252,14.659821575075897,0.46921782691735714,1.451464117310241e-10,4.635491571017467e-12,2.1278204982393167e-09,4.514700640401799e-12
0.6180904522613067,14.243769220331616,0.3959360874949786,1.5966918158733868e-10,4.425897110493816e-12,2.2742909741292744e-09,4.731832299012512e-12
0.6281407035175879,13.421414476083948,0.29311222526287545,1.9296124559618964e-10,4.193972191724549e-12,2.5898128549678894e-09,5.522545154245913e-12
0.6381909547738693,12.733082133318542,0.21526359475968795,2.309764117916825e-10,3.871508352291554e-12,2.9410416222026986e-09,6.483868171344559e-12
0.6482412060301508,12.428112907158479,0.18902095710903968,2.5194320291115416e-10,3.79318450309843e-12,3.1311785719709625e-09,6.747358714546102e-12
0.6582914572864322,11.884917677537624,0.13592869667248292,2.98100539052197e-10,3.351046647603011e-12,3.5429003662649508e-09,7.464664261915686e-12
0.6683417085427137,11.372072047431326,0.11516794137287932,3.5187526952028374e-10,3.4624061315733504e-12,4.001550916693983e-09,9.585712122762024e-12
0.6783919597989949,11.11015683604664,0.11477136796903771,3.824934224681589e-10,3.834738322184661e-12,4.249561912377491e-09,1.0583041632806985e-11
0.6884422110552764,10.701179537322448,0.12398123452329832,4.4788369937170147e-10,5.060628827265737e-12,4.7928838788167306e-09,1.227835021831201e-11
0.6984924623115578,10.340964453836913,0.12116847569113076,5.220201820211235e-10,5.976705836776451e-12,5.398192146465913e-09,1.3454323495682793e-11
0.7085427135678393,10.16914105749709,0.10788208986496992,5.628214006458065e-10,5.806635416272654e-12,5.72341021334529e-09,1.4141894472281747e-11
0.7185929648241207,9.836896650506102,0.08507590345305562,6.536823696272108e-10,5.406312088253261e-12,6.430205912280801e-09,1.626373544994465e-11
0.728643216080402,9.515967108540709,0.09001177501755597,7.583780631492564e-10,6.900928118027302e-12,7.216700704767132e-09,1.8639015282920485e-11
