Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A),temperature,scan_type
-0.2160804020100502,2.3759833891052446,0.0094448547861647,-1.3923588363361798e-07,5.35628516815453e-10,-3.3082214668086705e-07,3.3130951060998517e-10,100,b_scan
-0.2060301507537688,2.394775199911573,0.0099214703822181,-1.30703574394429e-07,5.249617030446407e-10,-3.1300567849957586e-07,3.1804430914972956e-10,100,b_scan
-0.1959798994974874,2.423609086629701,0.010544071929857,-1.183529438642869e-07,4.99992343432415e-10,-2.868412701788607e-07,2.98134069741959e-10,100,b_scan
-0.185929648241206,2.4433083603175203,0.0109960539471952,-1.1047589830755417e-07,4.833837781273723e-10,-2.699266859484353e-07,2.8433091006175447e-10,100,b_scan
-0.1758793969849246,2.4741716055998726,0.0118548841794002,-9.90728001265401e-08,4.6257274988354474e-10,-2.4512310896035697e-07,2.6381383034756624e-10,100,b_scan
-0.1658291457286431,2.495122959152459,0.0124280008964632,-9.181704732105949e-08,4.4618916796089584e-10,-2.290948228123633e-07,2.503691624206228e-10,100,b_scan
-0.1557788944723618,2.5263845712274176,0.0133974951946026,-8.14566116704661e-08,4.2224787625156874e-10,-2.057907269487288e-07,2.3019441727863126e-10,100,b_scan
-0.1457286432160803,2.5473309357443554,0.0140090899308175,-7.48896277974339e-08,4.0294412724715207e-10,-1.907686656547837e-07,2.1707746906098267e-10,100,b_scan
-0.135678391959799,2.5796473304829632,0.0151377257265671,-6.55185755968503e-08,3.7681926083871245e-10,-1.690148186354611e-07,1.9689961595326215e-10,100,b_scan
-0.1256281407035175,2.60149813795797,0.0160069833656225,-5.95967557585129e-08,3.598665902314678e-10,-1.5504084913410729e-07,1.8328089893222847e-10,100,b_scan
-0.1155778894472361,2.634398826011174,0.0174393690056864,-5.120328672052536e-08,3.3320625353967327e-10,-1.3488987842446554e-07,1.6381533929983412e-10,100,b_scan
-0.1055276381909547,2.6565663292533865,0.018455184059239,-4.596178156032483e-08,3.142306762585968e-10,-1.2210052132565812e-07,1.5050171828884128e-10,100,b_scan
-0.0954773869346733,2.6893654761742534,0.0199981237078191,-3.8581603302252375e-08,2.82723319905099e-10,-1.0376003193652808e-07,1.3106404038981074e-10,100,b_scan
-0.085427135678392,2.710456382982378,0.0212271187243223,-3.4015478102583046e-08,2.627933663763302e-10,-9.219746974334352e-08,1.1832190985104014e-10,100,b_scan
-0.0753768844221105,2.741074636144243,0.0230330538029238,-2.7638302289528004e-08,2.2937603551933351e-10,-7.575864939191257e-08,9.971237028029068e-11,100,b_scan
-0.0653266331658291,2.7606062812694128,0.0242250412759715,-2.3724036026608544e-08,2.0574532949440926e-10,-6.549272287211739e-08,8.772009371163681e-11,100,b_scan
-0.0552763819095477,2.78942444066488,0.0261751729384715,-1.8334107208745306e-08,1.7020022292303924e-10,-5.114160674584432e-08,7.003437923226073e-11,100,b_scan
-0.0452261306532663,2.8074415547276006,0.0276799058714328,-1.5057934734610642e-08,1.469766444505986e-10,-4.227427170232204e-08,5.883826142565843e-11,100,b_scan
-0.0351758793969849,2.82980852010616,0.0291971613258561,-1.0594434714442397e-08,1.0826750748298067e-10,-2.998022162063756e-08,4.262635326764601e-11,100,b_scan
-0.0251256281407035,2.8397189865961865,0.0300979290631948,-7.887275926369722e-09,8.282531243342211e-11,-2.2397647200635132e-08,3.2171459644345385e-11,100,b_scan
-0.015075376884422,2.839144061203412,0.030846538074535,-4.128598914307377e-09,4.4453055779925366e-11,-1.1721687088646642e-08,1.7034210231112113e-11,100,b_scan
-0.0050251256281407,2.7770256415967256,0.0308562722342001,-1.7761837904221635e-09,1.955965436195164e-11,-4.932507930190812e-09,7.303031367962935e-12,100,b_scan
0.0050251256281406,3.092249243285649,0.0329864861668196,1.712546095936328e-09,1.809085483602456e-11,5.2956193692509034e-09,7.859737584497402e-12,100,b_scan
0.015075376884422,3.024172442079786,0.0316915055569165,4.081986018065556e-09,4.236420307843773e-11,1.2344629624788856e-08,1.7923174790834967e-11,100,b_scan
